Townlands,Type
Dublin City Centre,R
Dublin Commuter Towns,R
North Co. Dublin,R
North Dublin City,R
South Co. Dublin,R
South Dublin City,R
West Co. Dublin,R
Dublin 1,D
Dublin 2,D
Dublin 3,D
Dublin 4,D
Dublin 5,D
Dublin 6,D
Dublin 7,D
Dublin 8,D
Dublin 9,D
Dublin 10,D
Dublin 11,D
Dublin 12,D
Dublin 13,D
Dublin 14,D
Dublin 15,D
Dublin 16,D
Dublin 17,D
Dublin 18,D
Dublin 20,D
Dublin 22,D
Dublin 24,D
Dublin 6w,D
Adamstown,T
Arbour Hill,T
Artane,T
Ashtown,T
Aylesbury,T
Ayrfield,T
Balbriggan,T
Baldoyle,T
Balgriffin,T
Ballinteer,T
Ballsbridge,T
Ballybough,T
Ballyboughal,T
Ballycullen,T
Ballyfermot,T
Ballymun,T
Bayside,T
Beaumont,T
Belfield,T
Blackrock,T
Blanchardstown,T
Bluebell,T
Booterstown,T
Brittas,T
Cabinteely,T
Cabra,T
Carpenterstown,T
Carrickmines,T
Castleknock,T
Chapelizod,T
Cherry Orchard,T
Christchurch,T
Churchtown,T
Citywest,T
Clarehall,T
Clondalkin,T
Clonee,T
Clongriffin,T
Clonsilla,T
Clonskeagh,T
Clontarf,T
Collinswood,T
Corduff,T
Crumlin,T
Dalkey,T
Dartry,T
Dollymount,T
Dolphin's Barn,T
Donaghmede,T
Donnybrook,T
Donnycarney,T
Drimnagh,T
Drumcondra,T
Dun Laoghaire,T
Dundrum,T
East Wall,T
Fairview,T
Finglas,T
Firhouse,T
Foxrock,T
Glasnevin,T
Glenageary,T
Goatstown,T
Grand Canal Dock,T
Hanover Quay,T
Harold's Cross,T
Hollystown,T
Howth,T
Huntstown,T
IFSC,T
Inchicore,T
Irishtown,T
Islandbridge,T
Kilbarrack,T
Killester,T
Killiney,T
Kilmainham,T
Kilmore,T
Kilnamanagh,T
Kilsallaghan,T
Kilternan,T
Kiltipper,T
Kimmage,T
Kingswood,T
Kinsealy,T
Knocklyon,T
Leopardstown,T
Loughlinstown,T
Loughshinny,T
Lucan,T
Lusk,T
Malahide,T
Marino,T
Milltown,T
Monkstown,T
Mount Merrion,T
Naul,T
Navan Road (D7),T
Newcastle,T
North Circular Road,T
North Strand,T
North Wall,T
Ongar,T
Palmerstown,T
Park West,T
Perrystown,T
Phibsborough,T
Porterstown,T
Portmarnock,T
Portobello,T
Raheny,T
Ranelagh,T
Rathcoole,T
Rathfarnham,T
Rathgar,T
Rathmines,T
Rialto,T
Ringsend,T
Royal Canal Park,T
Rush,T
Saggart,T
Sandycove,T
Sandyford,T
Sandymount,T
Santry,T
Shankill,T
Smithfield,T
South Circular Road,T
St Margaret's,T
Stepaside,T
Stillorgan,T
Stoneybatter,T
Sutton,T
Swords,T
Tallaght,T
Temple Bar,T
Templeogue,T
Terenure,T
The Coombe,T
Tyrrelstown,T
Walkinstown,T
Ward,T
Whitehall,T
Windy Arbour,T
